TITULO;CUERPO;SLUG;FECHA;PUBLICADO
APPak eta zientzia-liburuak,  Elhuyarren azoka Durangon;"<h4>Elhuyar APPgunean, elhuyar hiztegi elebidun guztiak batzen dituen Elhuyar hiztegiak aplikazioa deskargatzen lagunduko dizugu; gainera, Marikalanbre bizitzaren laborategien haurrentzako esperimentu-liburua aurkeztuko dugu.&nbsp;Abenduaren 7an, igandean, Gerediaga Elkarteak gonbidatu gaitu aurkeztera okzitanieraren inguruan garatu dugun bide-orria, Lo C&oacute;ngres erakundearekin lankidetzan</h4>

<p>&nbsp;</p>

<p>Iaz bezala, aurten ere bi stand izango ditu Elhuyarrek Durangoko Azokan, biak elkarren ondoan, Artekale 55 eta 56an. &nbsp;IKTen standa izango da bata, eta liburuena bestea. IKTen stand-ari Elhuyar APPgunea deitu diogu, eta atal honetako berrikuntzan nagusia Elhuyar Hiztegiak aplikazioa izango da. Aplikazio horretan Elhuyar hiztegi elebidun guztiak kontsulta daitezke, eta bi bertsio ditu: online bertsioa bata, doakoa, mugikorra edo tableta sarera konektatuta dagoenean bakarrik funtzionatzen duena; eta, offline bertsioa bestea, 3 &euro;-tan salduko duguna, sarera konexiorik gabe ere funtzionatzen duena. Horretaz gain, APPgunean HITZMIX jolasen aplikazioen berri ere emango dugu: HITZMIX zifren saltsa; HITZMIX letren saltsa; HITZMIX hitz-pasa; HITZMIX gurutzatuak eta HITZMIX bortz. Horiek hizkuntzarekin jolasteko eta trebatzeko jolasak dira eta 1,5 &euro;tan daude salgai. Standaren dekorazioaren parte izango dira aplikazio bakoitzari dagokien QR kodeak; beraz, hala nahi duenari deskarga egiten edo/eta produktua erosten lagunduko diogu gure APPgunetik.</p>

<p>Elhuyarren liburuen standera etorrita, aurten Zz zientzia-dibulgazioko seriean argitaratu dugun ale berri bati emango diogu protagonismoa: Marikalanbre bizitzaren laborategia, 6-8 urte arteko haurrei zuzenduriko dibulgazio-liburua. Irrien Lagunekin elkarlanean egin dugu liburua, beraien pertsonaia baita Marikalanbre. Elhuyar Zientzia unitateko kide Ana Galarragak idatzi du liburua, eta abenduaren 7an, igandean, Marikalanbreren liburuak sinatzen egongo da standean bertan, 16:00-18:00 bitartean. 18:00etan, berriz, Saguganbara aretoan aurkeztuko du liburua Anak: umeei pasarte batzuk irakurri dizkie eta esperimentuak egingo dituzte elkarrekin. Bestalde, egun horretan bertan, baina 11:00etan, gure lankide Itziar Cortes-ek Xuxen.eus webgune berritua aurkeztuko du @Kabia aretoan.</p>

<p><strong>Okzitanieraren inguruko poiektua aurkezteko gonbitea</strong><br />
Badirudi dena igandean gertatuko dela, egun horretan Durangoko Azokaren antolatzaileek gonbidatu baikaituzte Lo Congr&egrave;s permanent de la lenga occitana &nbsp;erakundearekin lankidetzan garatzen ari garen proiektua aurkeztera. Elhuyarrek eta Lo Congr&egrave;s erakundeak 2014ko apirilean hasi zuten elkarlana, &quot;Diagnostic et feuille de route pour le d&eacute;veloppement num&eacute;rique de la langue occitane : 2015-2019&quot; proiektua garatzeko. Hain zuzen, okzitanierarekin lotutako erakundeetako 21 pertsonak hartu dute parte, euskararen, bretoieraren, galeseraren eta katalanaren adituekin batera. Proiektuaren arduraduna Media.kom izan da; Elhuyarrek koordinazio-lanak eta hizkuntza-teknologien arloko aholkularitza-lanak egin ditu. Hain zuzen ere, joan den astean, azaroaren 26an, aurkeztu zuten Paven (Okzitania) okzitanierarentzat 2015-2019 arteko bide-orria, Hizkuntza Teknologien arloko hizkuntza-baliabideak eta -tresnak garatzeko helburu zehatzak proposatuz.</p>

<p>Azkenik, &nbsp;12:30etik&nbsp;13:30era&nbsp;@Kabia&nbsp;aretoan Elhuyarreko zuzendari nagusi Leire Canciok mahai-inguru bat gidatuko du euskara eta gaskonera ezagutarazteko erabiltzen ditugun tresna digitalen inguruan, eta honako lagunek hartuko dute parte:</p>

<ul>
	<li>Jean-Jacques Cast&eacute;ret, L&#39;InOc Aquitaine-ren zuzendaria;</li>
	<li>Benaset Daz&eacute;as, Congr&egrave;s permanent de la langue occitan-eko zuzendaria;</li>
	<li>Pantxoa Etchegoin, EKEren zuzendaria;</li>
	<li>Iurdana Acasuso, Azkue Fundazioa.</li>
</ul>

<p>&nbsp;</p>

<h5 style=""text-align:center"">Informazio gehiago behar izanez gero, jar zaitez gurekin harremanetan:<br />
Amaia Mendizabal Elias &middot; Komunikazioa &middot; Elhuyar<br />
tel.: 943 36 30 40 &middot; a.mendizabal@elhuyar.com &middot; www.elhuyar.eus</h5>
";durangoko-azoka;2014-12-01;1
Elhuyar aldizkariak webgunea berritu du;"<p>Elhuyar Zientzia eta Teknologia dibulgazio-aldizkariak aldizkaria.elhuyar.org webgunea berritu du. Zehazki, webgunearen orrialde nagusia eta itxura orokorra berritu ditu Elhuyar aldizkariak.&nbsp;Alde batetik, orrialde nagusiaren edukia berrantolatu du, ikusgarritasunaren, &nbsp;eskuragarritasunaren, eta gaurkotasunaren mesedetan. Bestetik,&nbsp; &ldquo;Zu idazle&rdquo; atala sortu du, Elhuyar aldizkarian zientziaren dibulgazio-artikuluak argitaratu nahi dituztenentzat. &ldquo;Zu idazle&rdquo; atalean eskuragarriago jarri ditu ikertzaileen dibulgazio-artikuluak, eta Elhuyar aldizkarian artikuluak idazteko oinarriak.&nbsp;</p>

<p>Azkenik, aldizkaria.elhuyar.org webgunearen diseinua ere berritu du, atseginagoa eta garbiagoa izan dadin.</p>
";aldizkariak-webgune-berria;2014-11-24;1
Baietz abenduaren 3rako euskarazko 20.000 hitzen ahoskera lortu sarean!;"<p>Ba bai, oraingo honetan erronka batean parte hartzera gonbidatu nahi zaitugu: baietz abenduaren 3rako, Euskararen Egunerako, sarean euskarazko 20.000 hitzen ahoskera lortu!</p>

<p>Elhuyar hiztegien eta&nbsp;Forvoren webguneek sortu dute <strong>#esanHitza erronka</strong>. Euskarazko ahoskerak biltzea du helburu, modu horretan Interneten euskara gehiago entzuteko.&nbsp;Gaur egun, Elhuyar hiztegien webgunean bertako hitzen ahoskera entzun dezakezu, Forvori esker. Aukera hori oso lagungarria da euskara ikasten ari direnentzat... baina hitz guztiak ez daude entzuteko moduan.</p>

<p>Hartuko duzu parte #esanHitza erronkan? Bi modu daude parte hartzeko, eta bideo bana egin dugu azaltzeko:&nbsp;<a href=""https://www.youtube.com/watch?v=lnRF5lR3MrA"">hiztegien webgunean kontsulta egitean</a>, zein hitz dauden ahoskatu gabe ikusita; eta, bestela,&nbsp;<a href=""https://www.youtube.com/watch?v=OPxTA7Syx_A&amp;feature=youtu.be"">zuzenean ahoskatu gabeko hitzen zerrendara jota</a>.</p>

<p>Animatu eta #esanHitza, euskara entzun dadin!</p>
";baietz-abenduaren-3rako-euskarazko-20-000-hitzen-ahoskera-lortu-sarean;2014-11-03;1
Elhuyar Aholkularitzaren eskutik, Europa mailako  bi adituk Euskal Herriko hainbat eragile trebatuko dituzte hizkuntza-ikuskaritzak egiteko;"<h4>Europako proiektu baten markoan, Enpresa Txiki eta Ertainetan hizkuntza-ikuskaritzak egiteko trebakuntza emango dute Stephen Hagen eta Peter Zolt&aacute;n hizkuntza-kudeaketan adituek.&nbsp;Trebakuntza-saio horiek abenduaren 3an eta 4ean egingo ditugu Elhuyar egoitzan, Usurbilen eta Eusko Jaurlaritzako Kultura Saileko Hizkuntza Politikarako Sailordetza (HPS), UPV/EHU eta enpresetako ordezkariek parte hartuko dute.</h4>

<p>&nbsp;</p>

<p>Elhuyar Aholkularitza, Europako beste bost erakunderekin batera, hizkuntzen kudeaketak Enpresa Txiki eta Ertainetan (ETE) duen garrantziari buruzko Europako proiektu batean parte hartzen ari da (EPIC: Enhancing and Promoting International Business Communication). Proiektu horrek bi helburu nagusi ditu: lehenengoa, enpresa eta erakundeetan hizkuntzen kudeaketak dituen alderdi guztiak aztertu, eta proiektu-kide bakoitzak teoria hori bere herrialdearen ezaugarri sozioekonomiko eta kulturaletara ekartzea; eta bigarrena, ETE-etan hizkuntza-ikuskaritzak egiteko aholkulariak trebatzea.</p>

<p>Lehenengo helburua landuta dago, eta bigarrenari ekiteko garaia da. Horretarako, unibertsitateko eta enpresaren munduko hainbat lagunek bi eguneko trebakuntza-ikastaro trinkoa jasoko dute abenduaren hasieran. Trebatzaileak Stephen Hagen eta Peter Zolt&aacute;n izango dira; hizkuntzen kudeaketan egiten dute lan biek, Europa mailan. Bi egunetako saioetan, alderdi teorikoa eta alderdi praktikoa eskainiko dizkiete parte-hartzaileei.</p>

<p>Gero, urtarrila eta apirila bitartean, parte-hartzaileek hizkuntza-ikuskaritzak egingo dituzte zenbait enpresatan. Amaitzeko, bildutako informazioa jasotzen duen txostena idatzi eta aurkeztu beharko dute: hizkuntzen kudeaketak gaur egun duen egoera, indargune eta ahuleziak eta hobetu beharreko alderdiak.</p>

<p>Trebakuntza-saioak Elhuyarko egoitza nagusian egingo dira, Usurbilen, abenduaren 3an eta 4an.</p>

<p>&nbsp;</p>

<p><strong>Gonbidapena</strong><br />
Trebakuntza-saioak ematera datorren Stephen Hagenek hizkuntzen kudeaketa egokiak enpresetan duen eragina aztertzen dituen hainbat ikerketa egin ditu (<a href=""/media/content/files/Stephen%20Hagen.pdf"">ikus bere profila</a>). Stephen Hagenekin elkarrizketa bat izan nahi baduzu, gurekin harremanetan jartzea eskertuko nizuke. Abenduak 3an izango da bera Usurbilen.</p>

<p>2012an Euskal Herrian eman zuen hitzaldiaren izenburua: negozio-aukerak galdu egiten dira hizkuntza- eta kultura-hesiak egoki ez kudeatzeagatik:</p>

<p>&nbsp;</p>

<p style=""text-align:center""><iframe frameborder=""0"" height=""315"" src=""//www.youtube.com/embed/Y3mJYwOpJpA?list=PL_ZaaGWuDlI3j-sRrOwKM7ujevQz1YM0L"" width=""560""></iframe></p>

<h5 style=""text-align:center"">Informazio gehiago behar izanez gero, jar zaitez gurekin harremanetan:<br />
Izaro Aizpurua Arkauz&middot; Komunikazio Korporatiboa &middot; Elhuyar<br />
tel.: 943 36 30 40 &middot; i.aizpurua@elhuyar.com &middot; www.elhuyar.eus</h5>

<h5>&nbsp;</h5>
";epic;2014-11-05;1
Bizitzaren laborategia esploratzen, Marikalanbreren eskutik;"<p>Elhuyarrek Zz zientzia-dibulgazioko serieko 5. alea argitaratu du Elhuyarrek: Marikalanbre bizitzaren laborategian esperimentu-liburua. 6-8 urte arteko haurrei zuzendua dago eta Durangoko Azokan aurkeztu berri dugu. Irrien Lagunekin elkarlanean egin dugu liburua, beraien pertsonaia baita Marikalanbre, umeen artean ezaguna. Elhuyar Zientzia unitateko kide Ana Galarragak idatzi du liburua, eta Jose Anjel Lopetegik egin ditu ilustrazioak. &nbsp;</p>

<p><span style=""font-size:13.3333339691162px"">Zz seriean aurrez 4 liburu&nbsp; aurkeztu ditugu:</span><em>&nbsp;<a href=""http://elhuyar.diversius.com/eu/shop/250"">Armix max mix</a></em><span style=""font-size:13.3333339691162px"">;</span><em>&nbsp;<a href=""http://elhuyar.diversius.com/eu/shop/247"">Armix sukaldean. Mugaritzen laguntzarekin</a></em><span style=""font-size:13.3333339691162px"">;&nbsp;</span><a href=""http://elhuyar.diversius.com/eu/shop/256"" style=""font-size: 13.3333339691162px; line-height: 23.1111106872559px;""><em>Zientzia guztiz arduragabea!</em></a><span style=""font-size:13.3333339691162px"">; eta&nbsp;</span><em><a href=""http://elhuyar.diversius.com/eu/shop/248"">Zientzia haurrentzat segundo gutxian</a>.</em></p>
";bizitzaren-laborategia-esploratzen-marikalanbreren-eskutik;2014-12-09;1
Lehendakaria Elhuyarren, gaur;"<p>Elhuyarren egoitza nagusian izan da gaur I&ntilde;igo Urkulu lehendakaria, Usurbilen, non Leire Cancio zuzendariarekin, Txema Pitarke presidentearekin eta zuzendaritza-taldearekin batzartu baita. Bertatik bertara ezagutu ditu lehendakariak Elhuyarren proiektuak, arloz arlo (Hizkuntza eta Teknologia, Zientzia, Aholkularitza eta Komunikazioa). Elhuyarren 40 urteko ibilbidearen emaitzen garrantzia nabarmendu du Urkulluk, eta &ldquo;etorkizunean ere, herri gisa ditugun erronketan Elhuyarrek zeresan handia&rdquo; izango duela adierazi du.</p>

<p><img alt=""Urkullu Elhuyarren"" src=""/media/content/images/Urkullu-Elhuyar%281%29.jpg"" style=""height:944px; width:600px"" /></p>

<p><img alt="""" src=""/media/content/images/Urkullu-Elhuyar1.jpg"" style=""height:454px; width:600px"" /></p>
";lehendakaria-elhuyarren-gaur;2015-01-23;1
Agur, Basque Research webguneari;"<ul>
	<li>
	<h3><a href=""http://www.basqueresearch.com""><em>Basque Research</em></a> webgunea 2002an jaio zen, Elhuyarren ekimenez eta Eusko Jaurlaritzaren laguntzari esker eta Euskal Herrian egiten den ikerketaren berri eman du 12 urtez</h3>
	</li>
	<li>
	<h3><a href=""http://www.basqueresearch.com""><em>Basque Research</em></a> proiektua kanpoko finantziazio-iturririk ​gabe geratu da eta honek webgunearen itxiera ekarri&nbsp;du.</h3>
	</li>
</ul>

<div><img alt=""Basque Research"" src=""/media/content/images/Basque-research.jpg"" style=""float:left; font-size:13.3333330154419px; height:185px; line-height:27.7333316802979px; width:300px"" /></div>

<p>&nbsp;</p>

<p><strong>&nbsp;Basque Research webgunearen azken eguna da gaurkoa</strong>. Amaierara iritsi da, honenbestez, 2002an Elhuyarren ekimenez eta Eusko Jaurlaritz<span style=""font-size:13px"">aren laguntzarekin sortutako proiektu hura.</span></p>

<p>Urte luzez, Euskal Herriko ikerketa-albisteen berri eman diogu gizarteari. Nazioartean ere zabaldu dugu euskal ikerketaren albisterik, erreferentziazko zenbait webguneren bidez: Alphagalileo, Eurekalert, CordisWire, SINC, Innovations-report. Milaka albiste eta ekitaldi argitaratu ditugu 12 urte hauetan: 5.000 albistetik eta beste horrenbeste ekitalditik gora, hain zuzen ere. Bestalde, 1.100 harpide ditu Basque Research-en asteroko albiste-buletinak.</p>

<p>Ibilbide oparo eta zabal honetan, Elhuyarren ekarpenez gain, hor daude proiektua finantzatzen lagundu digutenak ere: Eusko Jaurlaritza (SAIOTEK, HEDATU eta IKT deialdien bidez), Gipuzkoako Foru Aldundia eta Espainiako Zientzia eta Teknologia Ministerioa. Beste hainbatek bezala, krisi askotarikoei eta enbatei aurre egiten saiatu da azken urteetan <em>Basque Research</em>: ikerketarako finantzazio-iturrien beherakada (SAIOTEK deialdia bertan behera uztea, esaterako), komunikabideen finantziazio-eredua&hellip; Baina bizirik irauteko helduleku nahikorik ez eta, agur esan behar izan du.</p>

<p>Duela gutxi arte, ordea, inork gutxik aurreikusten genuen egoera hori. 2012an, Basque Research-en komunitatea indartzeko hausnarketari heldu genion, eta proiektua eraldatzen eta berritzen aritu gara ordutik.</p>

<p>Prozesu horren emaitzetako bat webgune berriaren lanketa izan da. Lanak ia amaiturik zeudela jakin genuen kanpoko finantziazio-iturririk gabe geldituko ginela. Beraz, Basque Research-en diseinu berria Interneten izango duzue, baina eduki berririk gabe.</p>

<p>Mila esker urte hauetan zuen konfiantza eta edukiak eskaini dizkiguzuen berriemaile guztiei, gure albisteak lanerako baliatu dituzuen kazetari guztiei, gure edukiak irakurri dituzuen guztiei eta proiektuan parte hartu duzuen lankide guztioi, Elhuyarrekoei zein kanpoko enpresetakoei.</p>

<p>Hemendik aurrera, leiho bat gutxiago izango du Euskal Zientzia, Teknologia eta Berrikuntza Sareak Euskal Herrian gertatzen denaren berri emateko. Orobat, euskal gizarteak ere bide bat gutxiago izango du horren berri izateko. Alabaina, sareko kideek egiten dutena elkarren artean zabaltzeko, nazioarteratzeko edo gizarteratzeko beharra ez da desagertu. Beharko dugu, beraz, hori egiteko bideak asmatu, eta baliabideak jarri. Elhuyarrek helburu horrekin jarraituko du, hori bait dugu xede, eta bide horien asmakuntzan parte aktiboa izaten jarraituko dugu.</p>

<p>Informazio gehiago:</p>

<p><strong>Elhuyar</strong><br />
Izaro Aizpurua<br />
<a href=""mailto:i.aizpurua@elhuyar.com"">i.aizpurua@elhuyar.com</a><br />
943 36 30 40</p>
";agur-basque-research-webguneari;2015-01-30;1
Teknopolis, Tecnalia Kazetaritza Sariaren irabazle;"<p><strong>Telebista-ataleko saria jaso du Elhuyarrek ekoizten eta ETBko bi kateek ematen duten saio horrek</strong></p>

<p><img alt=""TeknopolisTecnalia Kazetaritza Sarietan"" src=""/media/content/images/VII%20Premio%20de%20Periodismo%20Tecnalia.jpg"" style=""float:left; height:379px; line-height:27.7333316802979px; width:650px"" /></p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>Elhuyarrek ekoizten duen <em>Teknopolis</em> telebista-saioak jaso du VII. Tecnalia Kazetaritza Saria telebistako atalean, otsailaren 2an AZTI-Tecnaliaren Derioko egoitzan (Bizkaia) egin den ekitaldian. Han izan dira Elhuyarreko zuzendari nagusia, Leire Cancio; EiTBko zuzendari nagusia, Maite Iturbe; <em>Teknopolis</em>eko zuzendaria, Nagore Rementeria, eta saio horren aurkezlea, I&ntilde;aki Leturia. <em>Teknopolis</em> saritzeko arrazoien artean, bi azpimarratu dituzte epaimahaiko kideek: batetik, <em>Teknopolis</em>en &ldquo;15 urteko ibilbidea&rdquo;, eta, bestetik, &ldquo;I+G+Bn egiten den lana gizarteratzeko egiten duen lana, zorroztasun zientifiko handiz eta oso era dibulgatzailean betiere&rdquo;. Bat datoz epaimahaiaren aipamen horiek Elhuyarren xedearekin: &ldquo;Euskara zientzian, teknologian eta gizartean sendotzen eta harentzako arlo berriak eraikitzen egiten dugu lan, euskal komunitate aktiboa eta kritikoa helburu dugula&rdquo;.</p>

<p><strong><em>Teknopolis</em></strong><strong>en 15 urteko ibilbidea</strong></p>

<p>Zientziaren eta teknologiaren dibulgazioa du helburu <em>Teknopolis</em> saioak, eta 1999tik emititzen da, ETBn. Euskal Herrian nahiz gure mugetatik kanpo egiten diren ikerketa zientifiko eta teknologikoei erreparatu eta haiei buruzko erreportajeak egiten ditu saioko lantaldeak, zeina zientzialariz eta kazetariz osatuta baitago (guztira, sei lagun).&nbsp; Larunbatetan izaten da ikusgai <em>Teknopolis</em>: ETB1n, 13:20etan, eta ETB2n, 9:30etan. Bestalde, <em>Teknopolis</em>-en webgunean ere ikus daiteke: <a href=""http://teknopolis.elhuyar.org/"">http://teknopolis.elhuyar.org</a>.</p>

<p><em>Teknopolis</em>ek lehendik jasotako sari-zerrenda luzeari erantsi behar zaio Tecnalia Kazetaritza Saria. Hona hemen orain arte saio horrek bereganatutako sarietako batzuk: Lanbide Heziketako Ikastetxe Publikoen Sarearen Ikaslan Saria (2014); <em>Teknopolis</em>en &quot;Zelatan&quot; erreportajeari 2011ko emandako Telenatura saria (2011); lehen saria Bioteknologiaren Komunikazioaren eta Dibulgazioaren Asebio/Genoma Espa&ntilde;a Sarietan (2011); Europako telebista-programa onenaren saria<em>, </em>Jonhson&amp;Jonhson popular science TV Award Sarietan (2009); Tecnaliaren III. Kazetaritza Sarirako accesita (2006) eta Bizkaiko Foru Aldundiko Berrikuntza Sailaren saria (2006).</p>

<p>Denboraldi honetako babesleei eskerrak eman eman dizkie <em>Teknopolis</em>eko lantaldeak, &ldquo;haiek gabe ezinezkoa bailitzateke saioa egitea&rdquo;. Hauek dira aurtengo denboraldiko babesleak: Eusko Jaurlaritzako Ekonomiaren Garapen eta Lehiakortasun Saila; Eusko Jaurlaritzako Hezkuntza, Hizkuntza, Politika eta Kultura Saila; Energiaren Euskal Erakundea (EEE), Tknika, UPV/EHU, Mondragon Unibertsitatea (MU) eta Nafarroako Unibertsitate Publikoa (UPNA).</p>

<p><em>Teknopolis</em> saioko zuzendari Nagore Rementeriak oso pozik daudela adierazi du, lantalde osoaren izenean, eta beste hau ere esan du: &ldquo;Ohore bat da guretzat sari hau jasotzea, aurreko ekitaldietan saritutako lanen maila ikusirik&rdquo;.</p>

<p>Elhuyarreko zuzendari nagusiak, Leire Canciok, berriz, beste hau gogorarazi du: &ldquo;Ia aldi berean etori dira Tecnalia Kazetaritza Saria eta Basque Research webgunearen itxiera.&nbsp; Bada, <em>Teknopolis</em>ek urte luzez egindako gizarteratze-lana beharrezkoa dela eta estimazio handia duela dela adierazten digu gaurko sariak, eta aurrera egiteko pizgarritzat jasotzen dugu Elhuyarreko guztiok&rdquo;.</p>

<p><strong>VII. Tecnalia Kazetaritza Sariak</strong></p>

<p>AZTI-Tecnaliak, NEIKER-Tecnaliak eta TECNALIA Research &amp; Innovationek osatzen dute Tecnalia Korporazio Teknologikoa, hau da, Tecnalia Kazetaritza Sariaren antolatzailea. Hona Sariaren xedea: iritzi publikoan ikerketa, berrikuntza eta garapen teknologikoaren ezagutza sustatzen eta dibulgatzen duten eta, hala, gizarte berritzaileago bat eraikitzen laguntzen duten hedabideetako profesionalen lana aintzatestea eta saritzea.</p>

<div>
<p>Lau atal ditu sariketak: idatzizko komunikabideak, irratia, telebista eta Internet. Lau mila euroko saria ematen zaio atal bakoitzari. Enpresa-, hezkuntza-, teknologia- eta kazetaritza-alorretan ospe handikoak diren zenbait lagunek osatzen dute epaimahaia. VII. aldi honetan, sariak ez ezik, lau aipamen berezi ere banatu dira.</p>

<p>Idatzizko komunikabideen ataleko saria <strong>Elena de Arrieta Palacio</strong>rentzat izan da, <em>Expansi&oacute;n</em> ekonomia egunkarian argitaratutako artikulu batengatik (<em>Nuevas tecnolog&iacute;as, la clave para redefinir la econom&iacute;a </em>); irrati-alorreko saria, berriz, <strong>Manuel Hern&aacute;ndez Hurtado</strong>rentzat, RNEko <em>Espa&ntilde;a vuelta y vuelta</em> programan eman zen<em>I+D+i para el cambio de modelo productivo</em>erreportajeagatik, eta Internet-kategoriakoa, azkenik, <strong>Angelo Attanasio eta Jer&oacute;nimo Giorgi</strong>rentzat, &nbsp;www. elperiodico.com-en argitaratutako erreportaje batengatik. Aipamen bereziak berriz, hauek jaso dituzte: idatzizko komunikabideen kategorian, <strong>Antonio Villarreal</strong>ek, Vocentoko <em>Innova+</em> gehigarrian argitaratutako artikulu batengatik; irrati-atalean, <strong>Andr&eacute;s Go&ntilde;ik</strong>, Radio Euskadiko <em>Graffiti</em> programan emandako erreportaje batengatik; telebista-atalean, <strong>Pilar Requena, &Oacute;scar Mart&iacute;nez, Jes&uacute;s Paris eta Stella Rodr&iacute;guezek osatzen duten lantaldeak, </strong>TVE La 2eko <em>En portada</em> programan emandako erreportaje batengatik, eta internet-kategorian <strong>Marta Palomo de Udaetak</strong>, www.agenciasinc.es webgunean argitaratutako erreportaje batengatik.</p>

<div>
<hr />
<p>Informazio gehiago behar izanez gero, jar zaitez gurekin harremanetan:</p>
</div>

<p>Izaro Aizpurua &middot; <strong>Elhuyar Fundazioa</strong></p>

<p>tel.: 943 36 30 40 &middot; <a href=""mailto:i.aizpurua@elhuyar.com"">i.aizpurua@elhuyar.com</a></p>
</div>
";teknopolis-tecnalia-kazetaritza-sariaren-irabazle;2015-02-02;1
The Young Foundation eta ALC erakundeetako kideak Elhuyarren bisitari, gaur;"<p>The Young Foundationeko bi kide izango ditugu bisitari gaur Elhuyarren, Rowena Young, erakunde horretako Ekintzailetza Zuzendaria, eta Gorka Espiau, Hiri eta Erregioetarako Berrikuntza Zuzendaria eta Agirre Lehendakaria Centerreko Ikerkuntza Politiko eta Sozialetako kidea.&nbsp;</p>

<p>Lehendik ere jardun izan da Elhuyar Aholkularitza Gorka Espiaurekin elkarlanean, Berrikuntza Sozialari buruzko lanean, hain juxtu ere. Lehen aldia dugu, ordea, Rowena Youngekin elkartzen garena, Euskal Herrira bisitan datorrela aprobetxatuta.&nbsp;</p>

<p><a href=""http://agirrecenter.eus/ikerkuntza-proiektu-berria-identity-based-local-development/"">Lantzen eta mamitzen ari garen proiektuaren</a>&nbsp;eskutik dator gaurko bisitaldia.</p>

<p><a href=""http://agirrecenter.eus/es-la-directora-de-emprendizaje-social-en-young-foundation-rowena-young-visita-euskadi/"">Hainbat erakunde bisitatuko ditu</a> Rowena Youngek, guztiak ere berrikuntza sozialarekin lotura dutenak</p>

<p>Berrikuntza sozialaren eremuan dihardu <a href=""http://youngfoundation.org/"">The Young Foundationek</a>, eta erreferentziazko erakundea da alor horretan, bai Britainia Handian, bai mundu osoan.&nbsp;</p>

<p><img alt="""" src=""/media/content/images/20150216-The%20Young%20Foundation%20ElhuyarrenVIII.jpg"" style=""height:450px; width:600px"" /></p>

<p><img alt="""" src=""/media/content/images/20150216-The%20Young%20Foundation%20ElhuyarrenVI.jpg"" style=""height:450px; width:600px"" /></p>

<p><img alt="""" src=""/media/content/images/20150216-The%20Young%20Foundation%20ElhuyarrenVII.jpg"" style=""height:450px; width:600px"" /></p>
";the-young-foundation-eta-alc-erakundeetako-kideak-elhuyarren-bisitari-gaur;2015-02-16;1
Elhuyarren bisitari Mexikoko Querétaro estatuko IKTen clusterreko eta Alecop-eko ordezkariak;"<p>Elhuyarren izan dira, gaur arratsaldean,&nbsp;Carlos Flores,&nbsp;<a href=""http://www.inteqsoft.com.mx/"" target=""_blank"">INTEQSOFT</a>-eko ordezkaria eta Andoni Aregita,&nbsp;<a href=""http://www.alecop.com/"" target=""_blank"">Alecop</a>-eko ordezkaria, eta Hizkuntza eta Teknologia unitateko I+G alorreko zenbait kiderekin batzartu dira. Elhuyar aurkeztea, hizkuntza-teknologietan zertan ari garen azaltzea eta lankidetza-aukerarik ba ote dagoen aztertzea izan dira bileraren helburuak.</p>

<p><img alt="""" src=""/media/content/images/IMG_20150305_170425.jpg"" style=""height:450px; line-height:27.7333316802979px; width:600px"" /></p>

<p>Mondragon Unibertsitateak Quer&eacute;taro estatuan daukan filialak (<a href=""http://mondragon-uco.edu.mx/"" target=""_blank"">MONDRAGON-UCO-Quer&eacute;taro Unibertsitatea</a>) bultzatu du INTEQSOFT-ekiko harremana. Bi egun egongo dira Euskal Herrian cluster horretako ordezkariak (martxoaren 5ean eta 6an) eta, Elhuyar ez ezik, beste zenbait enpresa eta erakunde ere bisitatuko dituzte: Alecop, Mondragon Korporazioa, Mondragon Unibertsitatea, Vicomtech, LKS Consultor&iacute;a, Magnet, INIT eta Cluster TEIC GAIA.</p>
";elhuyarren-bisitari-mexikoko-queretaro-estatuko-ikten-clusterreko-ordezkariak;2015-03-05;1
